,variable,unit,value,Stellar flux,assumption
167,epsilon2,,0.5194204996577918,1212.121212121212,WTG
168,epsilon3,,0.24026529505651018,1212.121212121212,WTG
169,T1,K,276.5640088051147,1212.121212121212,WBG
170,T2,K,248.47259723109977,1212.121212121212,WBG
171,T3,K,248.53567317075448,1212.121212121212,WBG
172,T4,K,189.73706686355757,1212.121212121212,WBG
173,Fa,W/$m^2$,107.77423474248545,1212.121212121212,WBG
174,Fc,W/$m^2$,133.8403296501227,1212.121212121212,WBG
175,fc,,0.39232730680904915,1212.121212121212,WBG
176,q1,kg/kg,0.004484224519600573,1212.121212121212,WBG
177,q2,kg/kg,0.0007319490873483687,1212.121212121212,WBG
178,q3,kg/kg,0.00027448090775563825,1212.121212121212,WBG
179,alpha_p,,0.4470178491962347,1212.121212121212,WBG
180,epsilon2,,0.5190293778478424,1212.121212121212,WBG
181,epsilon3,,0.24003348642320155,1212.121212121212,WBG
182,T1,K,277.20873737399586,1247.4747474747476,WTG
183,T2,K,249.37184042249814,1247.4747474747476,WTG
184,T3,K,249.37184042249814,1247.4747474747476,WTG
185,T4,K,193.44383525640404,1247.4747474747476,WTG
186,Fa,W/$m^2$,115.33003736187757,1247.4747474747476,WTG
187,Fc,W/$m^2$,142.5726001462475,1247.4747474747476,WTG
188,fc,,0.39734726653017505,1247.4747474747476,WTG
189,q1,kg/kg,0.004693728884136017,1247.4747474747476,WTG
190,q2,kg/kg,0.0007918172123882383,1247.4747474747476,WTG
191,q3,kg/kg,0.00029693145464558936,1247.4747474747476,WTG
192,alpha_p,,0.4515860125424593,1247.4747474747476,WTG
193,epsilon2,,0.5469791881987234,1247.4747474747476,WTG
194,epsilon3,,0.2569050536772668,1247.4747474747476,WTG
195,T1,K,277.19867212855075,1247.4747474747476,WBG
196,T2,K,249.3577426994692,1247.4747474747476,WBG
197,T3,K,249.4261304439799,1247.4747474747476,WBG
198,T4,K,193.4380033699748,1247.4747474747476,WBG
199,Fa,W/$m^2$,115.33405071831855,1247.4747474747476,WBG
200,Fc,W/$m^2$,142.55258375273112,1247.4747474747476,WBG
201,fc,,0.39733611243033495,1247.4747474747476,WBG
202,q1,kg/kg,0.004690391578573069,1247.4747474747476,WBG
203,q2,kg/kg,0.0007908453033390677,1247.4747474747476,WBG
204,q3,kg/kg,0.00029656698875215037,1247.4747474747476,WBG
205,alpha_p,,0.4515758623116048,1247.4747474747476,WBG
206,epsilon2,,0.5465386791395763,1247.4747474747476,WBG
207,epsilon3,,0.2566341715530962,1247.4747474747476,WBG
208,T1,K,277.81546410531445,1282.828282828283,WTG
209,T2,K,250.2250296828195,1282.828282828283,WTG
210,T3,K,250.2250296828195,1282.828282828283,WTG
211,T4,K,197.00532990613485,1282.828282828283,WTG
212,Fa,W/$m^2$,122.86709652482763,1282.828282828283,WTG
213,Fc,W/$m^2$,151.29686730431374,1282.828282828283,WTG
214,fc,,0.4020665352357372,1282.828282828283,WTG
215,q1,kg/kg,0.004898894575960997,1282.828282828283,WTG
216,q2,kg/kg,0.0008526971563303687,1282.828282828283,WTG
217,q3,kg/kg,0.0003197614336238882,1282.828282828283,WTG
218,alpha_p,,0.45588054706452086,1282.828282828283,WTG
219,epsilon2,,0.5737363196899375,1282.828282828283,WTG
220,epsilon3,,0.27367770751638143,1282.828282828283,WTG
221,T1,K,277.80438761675725,1282.828282828283,WBG
222,T2,K,250.20939470482014,1282.828282828283,WBG
223,T3,K,250.28327575116217,1282.828282828283,WBG
224,T4,K,196.99824943767445,1282.828282828283,WBG
225,Fa,W/$m^2$,122.87178382111016,1282.828282828283,WBG
226,Fc,W/$m^2$,151.27320425246174,1282.828282828283,WBG
227,fc,,0.40205410430880933,1282.828282828283,WBG
228,q1,kg/kg,0.0048950778030503106,1282.828282828283,WBG
229,q2,kg/kg,0.000851544311234886,1282.828282828283,WBG
230,q3,kg/kg,0.00031932911671308226,1282.828282828283,WBG
231,alpha_p,,0.4558692349210165,1282.828282828283,WBG
232,epsilon2,,0.5732446203245667,1282.828282828283,WBG
233,epsilon3,,0.27336363822280363,1282.828282828283,WBG
234,T1,K,278.39710181540715,1318.1818181818182,WTG
235,T2,K,251.0490482012916,1318.1818181818182,WTG
236,T3,K,251.0490482012916,1318.1818181818182,WTG
237,T4,K,200.4403185302077,1318.1818181818182,WTG
238,Fa,W/$m^2$,130.37370541623298,1318.1818181818182,WTG
239,Fc,W/$m^2$,160.01550007017357,1318.1818181818182,WTG
240,fc,,0.40652005072625846,1318.1818181818182,WTG
241,q1,kg/kg,0.00510312347410058,1318.1818181818182,WTG
242,q2,kg/kg,0.0009155004202503714,1318.1818181818182,WTG
243,q3,kg/kg,0.00034331265759388925,1318.1818181818182,WTG
244,alpha_p,,0.4599332461608952,1318.1818181818182,WTG
245,epsilon2,,0.5996837503990793,1318.1818181818182,WTG
246,epsilon3,,0.29058362753390377,1318.1818181818182,WTG
247,T1,K,278.3849457906315,1318.1818181818182,WBG
248,T2,K,251.03176684164035,1318.1818181818182,WBG
249,T3,K,251.11133167963328,1318.1818181818182,WBG
250,T4,K,200.43185925367038,1318.1818181818182,WBG
251,Fa,W/$m^2$,130.37927602895425,1318.1818181818182,WBG
252,Fc,W/$m^2$,159.98802520070927,1318.1818181818182,WBG
253,fc,,0.40650639876663713,1318.1818181818182,WBG
254,q1,kg/kg,0.00509877789551638,1318.1818181818182,WBG
255,q2,kg/kg,0.0009141413168306582,1318.1818181818182,WBG
256,q3,kg/kg,0.0003428029938114968,1318.1818181818182,WBG
257,alpha_p,,0.4599208228776398,1318.1818181818182,WBG
258,epsilon2,,0.5991393093232218,1318.1818181818182,WBG
259,epsilon3,,0.29022197154857143,1318.1818181818182,WBG
260,T1,K,278.9569346280608,1353.5353535353536,WTG
261,T2,K,251.8476077171674,1353.5353535353536,WTG
262,T3,K,251.8476077171674,1353.5353535353536,WTG
263,T4,K,203.76128853143788,1353.5353535353536,WTG
264,Fa,W/$m^2$,137.84310523090048,1353.5353535353536,WTG
265,Fc,W/$m^2$,168.7164486966534,1353.5353535353536,WTG
266,fc,,0.4107303276505331,1353.5353535353536,WTG
267,q1,kg/kg,0.0053069055389571825,1353.5353535353536,WTG
268,q2,kg/kg,0.0009803413583237151,1353.5353535353536,WTG
269,q3,kg/kg,0.0003676280093713931,1353.5353535353536,WTG
270,alpha_p,,0.46376459816198506,1353.5353535353536,WTG
271,epsilon2,,0.6248169948520063,1353.5353535353536,WTG
272,epsilon3,,0.307625309313286,1353.5353535353536,WTG
273,T1,K,278.9436236991196,1353.5353535353536,WBG
274,T2,K,251.82856055702715,1353.5353535353536,WBG
275,T3,K,251.91401023081693,1353.5353535353536,WBG
276,T4,K,203.7513064922283,1353.5353535353536,WBG
277,Fa,W/$m^2$,137.8498063825082,1353.5353535353536,WBG
278,Fc,W/$m^2$,168.68503251919142,1353.5353535353536,WBG
279,fc,,0.41071551749593305,1353.5353535353536,WBG
280,q1,kg/kg,0.00530197647874088,1353.5353535353536,WBG
281,q2,kg/kg,0.000978747473848751,1353.5353535353536,WBG
282,q3,kg/kg,0.00036703030269328153,1353.5353535353536,WBG
283,alpha_p,,0.46375112092129905,1353.5353535353536,WBG
284,epsilon2,,0.6242185196613735,1353.5353535353536,WBG
285,epsilon3,,0.30721134863570043,1353.5353535353536,WBG
286,T1,K,279.49783121155303,1388.888888888889,WTG
287,T2,K,252.6240017832032,1388.888888888889,WTG
288,T3,K,252.6240017832032,1388.888888888889,WTG
289,T4,K,206.97938465002528,1388.888888888889,WTG
290,Fa,W/$m^2$,145.2696955232385,1388.888888888889,WTG
291,Fc,W/$m^2$,177.38942878151386,1388.888888888889,WTG
292,fc,,0.4147175170144973,1388.888888888889,WTG
293,q1,kg/kg,0.0055107255827912035,1388.888888888889,WTG
294,q2,kg/kg,0.0010473513148229457,1388.888888888889,WTG
295,q3,kg/kg,0.00039275674305860463,1388.888888888889,WTG
296,alpha_p,,0.4673929404831925,1388.888888888889,WTG
297,epsilon2,,0.6491341473754679,1388.888888888889,WTG
298,epsilon3,,0.3248070270117004,1388.888888888889,WTG
299,T1,K,279.4832806372821,1388.888888888889,WBG
300,T2,K,252.60305571572835,1388.888888888889,WBG
301,T3,K,252.69460342974733,1388.888888888889,WBG
302,T4,K,206.96771321782157,1388.888888888889,WBG
303,Fa,W/$m^2$,145.27779829579342,1388.888888888889,WBG
304,Fc,W/$m^2$,177.35395961772375,1388.888888888889,WBG
305,fc,,0.4147016090357943,1388.888888888889,WBG
306,q1,kg/kg,0.005505151684309856,1388.888888888889,WBG
307,q2,kg/kg,0.0010454902518517073,1388.888888888889,WBG
308,q3,kg/kg,0.00039205884444439026,1388.888888888889,WBG
309,alpha_p,,0.46737846422257284,1388.888888888889,WBG
310,epsilon2,,0.6484805559305039,1388.888888888889,WBG
311,epsilon3,,0.3243356463026854,1388.888888888889,WBG
312,T1,K,280.0223135843439,1424.2424242424242,WTG
313,T2,K,253.381168427874,1424.2424242424242,WTG
314,T3,K,253.381168427874,1424.2424242424242,WTG
315,T4,K,210.1045599216878,1424.2424242424242,WTG
316,Fa,W/$m^2$,152.64868961673193,1424.2424242424242,WTG
